id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
024pA2U3KMd5ZrsBzkkLqh,Superstition,Just Groovin,47GZ97EHP3xChqXVVH6Scc,['Ronny Smith'],['0w6ZfmXvRusu3x7kIAM8U1'],3,1,False,0.743,0.7759999999999999,10,-6.613,0,0.0411,0.138,0.889,0.0296,0.908,98.085,269413,4.0,2009,2009-05-01
4j4xTqQpPtjehmqgKFYGgm,Interlude (1),Ghetto Blaster,5ei2GdjiWmiEq6tt0Kona7,['Push Button Objects'],['3KMR2Qv1uE6eNA0koPhvBz'],4,1,False,0.769,0.322,11,-7.896,0,0.0768,0.0095599999999999,0.856,0.11,0.4629999999999999,93.988,221040,4.0,2003,2003-01-01
1A6tfCFKmf9YuoF6SKUpwl,Intermezzo,Fine Arabian Stuff (Original 1939 Recordings),592XSIq0eMqHfXjkXwaaml,['Fats Waller'],['0DYWCXTkNqGFZIf67SrWEa'],16,1,False,0.708,0.0947,5,-20.197,1,0.0704,0.995,0.93,0.119,0.163,84.47200000000002,138227,4.0,2000,2000-03-10
4A4bwu01psSutllGBCdyRZ,Haven't Had A Birthday For Years,Drinking Songs for Lovers,4uOff4a1Kbn6eHDeiIGS2t,"['Jack Grace Band', 'The Broken Mariachi Horns']","['0nuodCkVqLwrh7WfW6pbg4', '2QXSCymG6p9wbS86xIAOXx']",11,1,False,0.535,0.532,7,-9.616,1,0.0445,0.27,0.00286,0.34,0.68,96.931,188573,4.0,2010,2010-05-04
1AJxlCKPXFofbSXrQGUQRS,Saints Go Marching In,Mardi Gras Madness,05YU3EEYSjCPePCiO527tP,['The Hit Crew'],['76PJKS3IQsf4sSayx2taE0'],10,1,False,0.5379999999999999,0.815,0,-4.67,1,0.121,0.01,2.19e-05,0.266,0.953,114.397,136586,4.0,2007,2007-07-10
3eCTf7hnQQf1fq0jNd8xQd,Everybody's Falling In Love,Floral Canyon,5s3rXL4WPTQgCv5Lujy5YI,['*repeat repeat'],['0PEqo7RkX5wkaYwlT6hINn'],1,1,False,0.476,0.911,11,-7.412000000000001,0,0.0508,0.00176,0.0971,0.629,0.7829999999999999,167.635,161820,4.0,2017,2017-09-15
64dEq8vvvVj7fLTHgQTtUu,"3 Romances, Op. 22: No. 2. Allegretto",Obsidian,3XQNhAlkNFl2gkMj1D8cfV,"['Clara Schumann', 'Petteri Iivonen', 'Mika Sasaki']","['2yzaWNFV3cxmcRZtwtr5WC', '0fCFzoLc7m6bALMjF38n7U', '5oyzahbhySfypXLh9YhMer']",34,1,False,0.255,0.0806,7,-23.279,1,0.0443,0.96,0.138,0.149,0.3429999999999999,92.119,167605,4.0,2016,2016-10-28
083NgQVgEwEpXrpnz2nr5z,Pirate Baby Shark,Baby Shark Special,32rfxYeHQua1OqWpmBEK90,['Pinkfong'],['7cTXfwpe9peK0UE1bZyIWZ'],5,1,False,0.7509999999999999,0.87,7,-3.582,1,0.0796,0.409,4.42e-05,0.315,0.941,115.032,93196,4.0,2017,2017-12-13
2B0Uw7NL97nfkwTHv2su6D,Maxima,Monstercat Uncaged Vol. 7,78o8wWvdzK44iqcNCZIVmn,['Pixel Terror'],['3DajvNySJjylWpCSeXefFm'],39,1,False,0.5589999999999999,0.7759999999999999,11,-2.902,0,0.0776,0.0132,0.299,0.172,0.402,150.09,211200,4.0,2019,2019-07-31
17f8i1UwDhy3uu4Gp4Ry0r,Gimmie Trouble,Gimmie Trouble,0F5t55jjLorBot4UK7O2gB,['ADULT.'],['2jh27vMWRDaPgtwvluMomC'],1,1,False,0.659,0.959,11,-6.032,1,0.0576,0.019,0.16,0.738,0.845,99.275,239227,4.0,2005,2005-10-11
0YZwsEmWmCOKujKqUBYL9c,Om igen - Ett avlägset sorl,Hits,6KCp6T057wgb1B6ZSlnPQC,['Monica Zetterlund'],['7mvvG63CNSY93JWAJ37rnD'],4,1,False,0.606,0.2019999999999999,7,-19.896,0,0.0342,0.757,0.000931,0.139,0.387,115.037,289493,4.0,2000,2000-03-20
